,Row,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Altered Title
60,996,journalArticle,2015,"Rand, William; Herrmann, Jeffrey; Schein, Brandon; Vodopivec, Nea",An Agent-Based Model of Urgent Diffusion in Social Media.,Journal of Artificial Societies & Social Simulation,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=102049212&site=ehost-live,"During a crisis, understanding the diffusion of information throughout a population will provide insights into how quickly the population will react to the information, which can help those who need to respond to the event. The advent of social media has resulted in this information spreading quicker then ever before, and in qualitatively different ways, since people no longer need to be in face-to-face contact or even know each other to pass on information in an crisis situation. Social media also provides a wealth of data about this information diffusion since much of the communication happening within this platform is publicly viewable. This data trove provides researchers with unique information that can be examined and modeled in order to understand urgent diffusion. A robust model of urgent diffusion on social media would be useful to any stakeholders who are interested in responding to a crisis situation. In this paper, we present two models, grounded in social theory, that provide insight into urgent diffusion dynamics on social networks using agent-based modeling. We then explore data collected from Twitter during four major urgent diffusion events including: (1) the capture of Osama Bin Laden, (2) Hurricane Irene, (3) Hurricane Sandy, and (4) Election Night 2012. We illustrate the diffusion of information during these events using network visualization techniques, showing that there appear to be differences. After that, we fit the agent-based models to the observed empirical data. The results show that the models fit qualitatively similarly, but the diffusion patterns of these events are indeed quite different from each other. [ABSTRACT FROM AUTHOR]",Social media; Social networks; Twitter; Communication; News; Statistics; Social Networks; Data; Diffusion of Information; Urgent Diffusion,SocIndex,63,,,,,,,,An Agent-Based Model of Urgent Diffusion in Social Media.
61,1821,journalArticle,2015,"Stokes, Craig R.",The use of Catalan verbal periphrases haver de and tenir que on Twitter.,Sociolinguistic Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=111598417&site=ehost-live,"The present study investigates the use of a standard Catalan deontic modal construction haver de + infinitive 'to have to' and the nonstandard variant tenir que + infinitive 'to have to' in Twitter entries originating from eight cities, representing different Catalan dialects. Although the nonstandard form has been labeled in the literature as a calque of Spanish tener que + infinitive 'to have to', it appears in Twitter messages in all of the dialects analyzed. In fact, in our sample there are dialects in which tenir que occurs more frequently than haver de. Grammatical person of the verb used (haver or tenir) is also analyzed as a factor behind the choice of modal periphrasis. Multivariate analysis has been employed, determining that both of these factors (dialect and grammatical person) are statistically significant. The results of the multivariate analysis allow us to apply van Coetsem's (1988) theoretical framework in an attempt to describe the language contact situation in the different dialects. Source-language (sl) agentivity appears to be at work in the dialects where the nonstandard variant is prevalent, while recipient-language (rl) agentivity could be behind the use of the standard variant in the other dialects. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); CATALAN DIALECTS; Catalan language; Deontic logic; DEONTIC MODAL; Dialectic; Grammaticality (Linguistics); Grammaticalization; RL AGENTIVITY; SL AGENTIVITY; SPANISH-CATALAN CONTACT,SocIndex,N/A,,,,,,,,The use of Catalan verbal periphrases haver de and tenir que on Twitter.
62,1904,journalArticle,2015,"Vergeer, Maurice",Twitter and Political Campaigning.,Sociology Compass,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=109346998&site=ehost-live,"The use of Twitter by politicians, parties, and the general audience in politics, particularly during election campaigns, has become an extremely popular research field almost overnight. Even though Twitter, a medium that emerged early in 2006 - the first tweet was posted on 21 March 2006 by Jack Dorsey, co-founder of Twitter - and elections occurring only every few years, it has already received much academic attention. The studies produced are very diverse, ranging from analyzing how politicians or citizens use Twitter, to looking at their activities and the content of political Twitter messages, to network studies of Twitter users. This review will cover many types of studies that characterize the field. The large diversity in the studies conducted on elections will be represented in this review of approaches. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); Political campaigns; Political parties; Politicians; Online social networks,SocIndex,N/A,,,,,,,,Twitter and Political Campaigning.
63,1786,journalArticle,2015,"Zappavigna, Michele",Searchable talk: the linguistic functions of hashtags.,Social Semiotics,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=102271681&site=ehost-live,"An important dimension of social media discourse is its searchability. A key semiotic resource supporting this function is the hashtag, a form of social tagging that allows microbloggers to embed metadata in social media posts. While popularly thought of as topic-markers, hashtags are able to construe a range of complex meanings in social media texts. This paper uses the concept of linguistic metafunctions, to explore how hashtags enact three simultaneous communicative functions: marking experiential topics, enacting interpersonal relationships, and organizing text. Corpus-based discourse analysis of linguistic patterns in a 100 million word Twitter corpus is used to investigate these functions and how they relate to the notion of social search. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Twitter; hashtags; social media; discourse analysis; microblogging; Blogs; Corpora; Interpersonal relations; systemic functional linguistics,SocIndex,N/A,,,,,,,,Searchable talk: the linguistic functions of hashtags.
64,2043,journalArticle,2016,"Babic, Annessa Ann; Tunc, Tanfer Emin",Giving the voiceless a voice: Excavating Women's histories from the archives in Turkey and the United States.,Women's Studies International Forum,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=118030492&site=ehost-live,"The article discusses and compares the origins, content, social and political goals of women's archives and study programs in the U.S. and Turkey. Topics include the rise and the history of feminism in both Turkey and the U.S., the feminist scholarship that reflect the social conditions of women, and how social media sites like Facebook and Twitter are highlighting issues like crime against women.",Social media & society; Crimes against women; American women; Turkish history; Women & literature,SocIndex,N/A,,,,,,,,Giving the voiceless a voice: Excavating Women's histories from the archives in Turkey and the United States.
65,530,journalArticle,2016,"Carney, Nikita","All Lives Matter, but so Does Race.",Humanity & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=115236148&site=ehost-live,"This article demonstrates the ways in which youth of color played an active role in debates that erupted on Twitter following the tragic deaths of Michael Brown and Eric Garner in 2014. These debates on social media represent a larger struggle over discourse on race and racism across the nation. Drawing from critical theory and race theory, and engaging in the relatively new practice of using Twitter as a source of data for sociological analysis, this article examines Twitter as an emerging public sphere and studies the hashtags “#AllLivesMatter” and “#BlackLivesMatter” as contested signs that represent dominant ideologies. This article consists of a qualitative textual analysis of a selection of Twitter posts from December 3 to 7, 2014, following the nonindictments of officers in the murders of Michael Brown and Eric Garner. The debates on Twitter reveal various strategies that youth of color employed to shape the national discourse about race in the wake of these high-profile tragedies. [ABSTRACT FROM AUTHOR]","Twitter (Web resource); Content analysis; social media; Racism; race; Brown, Michael, 1996-2014; Garner, Eric, 1970-2014; social theory",SocIndex,N/A,,,,,,,,"All Lives Matter, but so Does Race."
66,308,journalArticle,2016,"Dwyer, Robyn; Fraser, Suzanne",Addicting via Hashtags.,Contemporary Drug Problems,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=113947452&site=ehost-live,"Persons, substances, bodies, consumption: an ever widening process of “addicting” is underway in Western societies. In this article, we turn our attention to the production of addiction on the microblogging social media platform, Twitter, as an important emerging site in which the addicting of contemporary societies is also occurring. Our analysis explores two questions. First, we investigate the ways in which addiction is enacted via Twitter. How is addiction being made on Twitter? Second, we ask how the technology of Twitter itself is shaping meaning: how do the technological “affordances” of Twitter help constitute the kinds of addiction being materialized? While we find a multiplicity of meanings in the 140-character messages, we also find a pattern: a tendency toward extremes—addiction riven between pain and pleasure. In addition, we find significant areas of commonality between approaches and notable silences around alternatives to common understandings of addiction. We argue that the constraints on communication imposed by Twitter technology afford a “shorthand” of addiction that is both revealing and productive. Illuminated is the importance of addiction as a piece of cultural shorthand that draws on and simultaneously reproduces simplistic, reductive addiction objects. In concluding, we consider what these realities of addiction being enacted through Twitter can tell us about contemporary conditions of possibility for drug use in society and for individual subjectivities and experiences. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Twitter; Tags (Metadata); science and technology studies; hashtag; addiction; Addictions; affordance; Drug abuse,SocIndex,-,,,,,,,,Addicting via Hashtags.
67,1140,journalArticle,2016,"Fisher, James M.",I'm Not Sure I Follow You Doctor ...,Journal of the American Geriatrics Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=118910548&site=ehost-live,A personal narrative is presented in which the author reflects on realizing he knew a patient despite not having met him before because he followed the patient on the microblog service Twitter and on Britain's General Medical Council issued specific guidance to doctors on the use of social media and professional physician-patient relations.,Social media; Blogs; Physician-patient relations,SocIndex,-,,,,,,,,I'm Not Sure I Follow You Doctor ...
68,1430,journalArticle,2016,"Gehl, Robert W.",Power/freedom on the dark web: A digital ethnography of the Dark Web Social Network.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=117311174&site=ehost-live,"This essay is an early ethnographic exploration of the Dark Web Social Network (DWSN), a social networking site only accessible to Web browsers equipped with The Onion Router. The central claim of this essay is that the DWSN is an experiment in power/freedom, an attempt to simultaneously trace, deploy, and overcome the historical conditions in which it finds itself: the generic constraints and affordances of social networking as they have been developed over the past decade by Facebook and Twitter, and the ideological constraints and affordances of public perceptions of the dark web, which hold that the dark web is useful for both taboo activities and freedom from state oppression. I trace the DWSN’s experiment with power/freedom through three practices: anonymous/social networking, the banning of child pornography, and the productive aspects of techno-elitism. I then use these practices to specify particular forms of power/freedom on the DWSN. [ABSTRACT FROM AUTHOR]",Social networks; Twitter (Web resource); Power (Social sciences); Facebook (Web resource); Computer network resources; social networking sites; power; Ethnology; Dark web; freedom; Invisible Web; Liberty; Prevention of child pornography; The Onion Router,SocIndex,-,,,,,,,,Power/freedom on the dark web: A digital ethnography of the Dark Web Social Network.
69,818,journalArticle,2016,"Geiger, R. Stuart",Bot-based collective blocklists in Twitter: the counterpublic moderation of harassment in a networked public space.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=114014834&site=ehost-live,"This article introduces and discusses bot-based collective blocklists (or blockbots) in Twitter, which have been developed by volunteers to combat harassment in the social networking site. Blockbots support the curation of a shared blocklist of accounts, where subscribers to a blockbot will not receive any notifications or messages from accounts on the blocklist. Blockbots support counterpublic communities, helping people moderate their own experiences of a site. This article provides an introduction and overview of blockbots and the issues that they raise about networked publics and platform governance, extending an intersecting literature on online harassment, platform governance, and the politics of algorithms. Such projects involve a more reflective, intentional, transparent, collaborative, and decentralized way of using algorithmic systems to respond to issues of platform governance like harassment. I argue that blockbots are not just technical solutions but social ones as well, a notable exception to common technologically determinist solutions that often push responsibility for issues like harassment to the individual user. Beyond the case of Twitter, blockbots call our attention to collective, bottom-up modes of computationally assisted moderation that can be deployed by counterpublic groups who want to participate in networked publics where hegemonic and exclusionary practices are increasingly prevalent. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); social media; Harassment; Public sphere; algorithms; Computer programming; Discrimination (Sociology); moderation; Moderation; networked publics; public sphere,SocIndex,-,,,,,,,,Bot-based collective blocklists in Twitter: the counterpublic moderation of harassment in a networked public space.
