,Unnamed: 0.1,Unnamed: 0,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Original Citation
60,139,1124,journalArticle,2022.0,"Frank, Jennifer M.; Granruth, Laura Brierton; Ogongi, Wanja; Nyce, Katie",Joining the Conversation: Using Technology to Enhance Policy Practice.,Journal of Teaching in Social Work,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154901503&site=ehost-live,"Technological innovations present new pedagogical opportunities. The use of technology in the classroom may provide an opportunity for social work programs to engage students in a better understanding of policy practice, to get their voice heard on the issues, and to feel empowered about social change at the macro level. This article will discuss experiential learning using social media as a platform for MSW students in a social policy course in order to join policy conversations in real time. [ABSTRACT FROM AUTHOR]",twitter; Conversation; policy; Social change; Social services; technology; Social learning; Social policy; Classrooms; pedagogy; Experiential learning; Macro practice,SocIndex,N/A,,,,,,,,0
61,141,891,journalArticle,2012.0,"Franklin, M. I.",KEY THINKERS PAST AND PRESENT : SERIES EDITOR'S NOTE.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=71754821&site=ehost-live,"An introduction is presented in which the editor discusses various published within on topics including the next generation of Internet-based technologies, cybernetics, phenomenology, feminism and critical pedagogy and Twitter revolution.",Internet; Cybernetics,SocIndex,N/A,,,,,,,,0
62,142,985,journalArticle,2022.0,"Jayawardane, M. Neelika","Keguro Macharia: On Grinding, Grating, and Creating Friction against Kenyatta's Figurations of Gender, Sexuality, and Ethnicity.",Journal of African Cultural Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=157567012&site=ehost-live,"Where I hope to head to next.[3] Kenyatta, and the powerful remainders of his nation-making efforts, presented considerable obstacles that Macharia, as a writer and thinker, had to think over, and write through. Keguro Macharia's body of work - his blog, I Gukira i and other online writing, his Twitter feed, and now, his long-awaited text, I Frottage: Frictions of Intimacy across the Black Diaspora i - has always challenged us to imagine freedom and its relationship to the erotic. [Extracted from the article]",Human sexuality; Ethnicity; Gender; Taboo; Imagination; Friction; Kinship; Sexology,SocIndex,N/A,,,,,,,,0
63,143,1297,journalArticle,2021.0,"Roger, Fabrice","L'Arbre qui cache la forêt: on the sexualization of the term beurette, Gilles Kepel's travel writing, and the French mission civilisatrice.",Modern & Contemporary France,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154269331&site=ehost-live,"In June 2020, the hasthtag #TF1raciste began trending on French Twitter after the synopsis of a TV series broadcast on France's first television channel described a female character of Maghrebi descent as a beurette. As the term was being debated on many a media outlet, sociologists explained that beurette is embedded in a colonial rhetoric that fetishizes Oriental women and noted that its contemporary usage is mostly associated with the pornographic industry, suggesting a discriminatory if niche representation of Arab women in France. Through an analysis of the travel writing of Gilles Kepel, France's leading expert on Islamism, this article argues that this representation is not restricted to the marginal production of adult content but that it is instead found in a public representation of Islam that, behind its denunciation of Islamism, hides a French yearning for the colonial mission civilisatrice. (English) [ABSTRACT FROM AUTHOR]","Twitter (Web resource); Islam & politics; Kepel, Gilles, 1955-; North African literature; Travel writing",SocIndex,N/A,,,,,,,,0
64,147,468,journalArticle,2022.0,"Schuenemann, WJ; Brand, A; Koenig, T; Ziegler, J",Leveraging Dynamic Heterogeneous Networks to Study Transnational Issue Publics. The Case of the European COVID-19 Discourse on Twitter,FRONTIERS IN SOCIOLOGY,10.3389/fsoc.2022.884640,,"The ongoing COVID-19 pandemic constitutes a critical phase for the transnationalization of public spheres. Against this backdrop, we ask how transnational COVID-19 related online discourse has been throughout the EU over the first year of the pandemic. Which events triggered higher transnational coherence or national structuration of this specific issue public on Twitter? In order to study these questions, we rely on Twitter data obtained from the TBCOV database, i.e., a dataset for multilingual, geolocated COVID-19 related Twitter communication. We selected corpora for the 27 member states of the EU plus the United Kingdom. We defined three research periods representing different phases of the pandemic, namely April (1st wave), August (interim) and December 2020 (2nd wave) resulting in a set of 51,893,966 unique tweets for comparative analysis. In order to measure the level and temporal variation of transnational discursive linkages, we conducted a spatiotemporal network analysis of so-called Heterogeneous Information Networks (HINs). HINs allow for the integration of multiple, heterogeneous network entities (hashtags, retweets, @-mentions, URLs and named entities) to better represent the complex discursive structures reflected in social media communication. Therefrom, we obtained an aggregate measure of transnational linkages on a daily base by relating these linkages back to their geolocated authors. We find that the share of transnational discursive linkages increased over the course of the pandemic, indicating effects of adaptation and learning. However, stringent political measures of crisis management at the domestic level (such as lockdown decisions) caused stronger national structuration of COVID-19 related Twitter discourse.",MEDIA; Twitter; COVID-19; PATTERNS; discourse analysis; POWER; SITES; DISEASE; dynamic networks; European public sphere; heterogeneous information networks; transnationalization,WOS,1,,,,,,,,0
65,158,173,journalArticle,2021.0,"Martiniuk, Jill","Moms, muses, and moguls: Russian businesswomen and social media.",Canadian Slavonic Papers,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=154569847&site=ehost-live,"This article focuses on the influence of a group of Russian women collectively known as ""the czarinas"" on social media. This group of business-minded socialites began appearing on social media around 2012 and have turned their popularity on Twitter and Instagram into Internet-based business ventures that are centred around their perceived identities as wives, mothers, and fashion muses. Together, these women have served as an aspirational tableau for other Russian women trying to navigate their own roles of mothers and businesswomen. This article examines how these ""czarinas"" have constructed their perceived social media identities as wives and mothers to create a relationship with their followers that allows the czarinas to influence their purchasing decisions. Finally, it examines why these women have embraced social media, how they use it to promote their businesses, and how successfully they have navigated social issues created in both Russia and the West. (English) [ABSTRACT FROM AUTHOR]",Social media; gender; influencers; Russian businesswomen; women's position in Russia,SocIndex,N/A,,,,,,,,0
66,165,212,journalArticle,2022.0,"KARAOĞLU, Gülhanım",News Production and Consumption Practices in Online Journalism: A Cross-Platform Review.,Çevrimiçi Gazetecilikte Haber Üretim ve Tüketim Pratikleri: Platformlar Arası Bir İnceleme.,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=159018391&site=ehost-live,"Internet-based technologies, which mark a revolutionary period in journalism, have revealed new understandings in journalism. This change in the news media has affected the established forms of production and consumption, and has transformed traditional relations and understandings. Expanding information distribution capacities and reader expectations growing, differentiating and specializing necessitate using new communication technologies more effectively. Social media platforms and online environments, which provide additional channels to reach the reader, both open new areas for news producers and reveal different usage patterns from traditional media for consumers. The study investigates the trends in news production, distribution, and consumption in different social media platforms as an alternative field. In the study, Twitter, Instagram, and Telegram platforms were discussed, and content production, distribution, and consumption styles were examined in the context of journalism, based on the assumption that Telegram is an alternative channel for creating public opinion, increasing interaction and creating their brands for journalists. In this context, Twitter, which functions more as a news sharing application, Instagram, which has increased in popularity in recent years, and Telegram, which stands out with its bot and channel creation features, are evaluated. The shares on the Cia Medya Telegram channel, Cia Haber Instagram page and Cia Haber Twitter page, which constitute the sample of the research, were analyzed by content analysis method, and it was concluded that the Telegram platform is used more actively in content production, distribution and interaction. (English) [ABSTRACT FROM AUTHOR]",Twitter; Technological innovations; News consumption; Online journalism; Instagram; Alternative mass media; Çevrimiçi Gazetecilik; Online Journalism; Social Media Journalism; Sosyal Medya Gazeteciliği; Telecommunication; Telegram,SocIndex,N/A,,,,,,,,0
67,168,1987,journalArticle,2023.0,"Ramsay, Gilbert",Online Jihadi Storytelling: The Case of Najm al-Din Azad.,Studies in Conflict & Terrorism,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=161688044&site=ehost-live,"Despite great interest in the importance of ""narrative"" to the global jihadi movement, research on actual examples of jihadi storytelling has been very limited to date. In this paper, I discuss the phenomenon of jihadi storytelling, specifically in digital contexts, focusing on the case study of one storyteller in particular: ""Najm al-Din Azad"", a Saudi jihadist who tweeted and blogged a collection of ""Tales of the Heroism of the Mujahidin"" while participating in the Syrian civil war. [ABSTRACT FROM AUTHOR]","Mujahideen; Storytelling; Jihad; Syrian Civil War, 2011-",SocIndex,N/A,,,,,,,,0
68,171,528,journalArticle,2015.0,"Matheus, Carolyn C.; Svegliato, Justin",OpenSR: AN OPEN-SOURCE STIMULUS-RESPONSE TESTING FRAMEWORK.,Human Technology,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=111651634&site=ehost-live,"Stimulus-response (S-R) tests provide a unique way to acquire information about human perception by capturing automatic responses to stimuli and attentional processes. This paper presents OpenSR, a user-centered S-R testing framework providing a graphical user interface that can be used by researchers to customize, administer, and manage one type of S-R test, the implicit association test. OpenSR provides an extensible open-source Web-based framework that is platform independent and can be implemented on most computers using any operating system. In addition, it provides capabilities for automatically generating and assigning participant identifications, assigning participants to different condition groups, tracking responses, and facilitating collecting and exporting of data. The Web technologies and languages used in creating the OpenSR framework are discussed, namely, HTML5, CSS3, JavaScript, jQuery, Twitter Bootstrap, Python, and Django. OpenSR is available for free download. [ABSTRACT FROM AUTHOR]",Open source software; graphical user interface; implicit association; open source framework; Perception testing; Stimulus & response (Biology); stimulus-response; user-centered design,SocIndex,N/A,,,,,,,,0
69,178,1046,journalArticle,2023.0,"Guevara, Juan Antonio; Atienza-Barthelemy, Julia; Gómez González, Daniel; Robles, José Manuel",Polarization and incivility in digital debates on women's rights in Spain. Not just a matter of machismo.,Journal of Gender Studies,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=160968360&site=ehost-live,"As is the case in many other countries, Spain faces the challenge of drastically reducing the presence of gender violence. In this paper, we analyse how public digital debate in Spain gives insight into this topic. Specifically, we are interested in analysing the ways in which processes such as polarization or incivility are manifested on social networks. Our thesis is that, in addition to the central role played by structural machismo, there are particular characteristics of online debate that regulate the presence of polarization and incivility. In order to assess this, we analyse two case studies on Twitter, 'La Manada' and 'Cuéntalo'. We demonstrate how spontaneous digital debates favour the emergence of negative behaviours, while those that, as is the case with 'Cuéntalo', are organized and structured, favour more respectful, less polarized communication. [ABSTRACT FROM AUTHOR]",Twitter; Spain; polarization; Social conflict; incivility; Gender; Behavior; Violence; misogyny; Digital communication; gender violence; machismo,SocIndex,N/A,,,,,,,,0
