,Unnamed: 0.1,Unnamed: 0,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other,Original Citation
180,151,1002,journalArticle,2018.0,"Borin, Jill M.; Healey, Kathryn N.; Stein, Debra K.",#MORALINJURY: A BIBLIOMETRIC STUDY.,Journal of Behavioral & Social Sciences,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=135267954&site=ehost-live,"The purpose of this study was to describe the frequency with which the term moral injury appears in scholarly literature and social media. This description provided a baseline for establishing current awareness of moral injury as a source of traumatic stress. In February 2016, we searched seven scholarly databases for use of the term moral injury. Seventy-nine articles met our search criteria. Time comparisons revealed a significant increase in the number of scholarly articles published within the last 5 years. We also searched the social media platform Twitter for use of ""#moralinjury."" Appearing first in 2011, this hashtag saw an 86% increase in use by 2016. Further results revealed that most research is performed in the United States, is dominated by psychologists, and is focused on the military. Our findings reflect an increased awareness of the trauma of moral injury, but future research needs to address international and interdisciplinary work across populations. [ABSTRACT FROM AUTHOR]",Social media; United States; Harm (Ethics),SocIndex,-,,,,,,,,0
181,152,451,journalArticle,2022.0,"Lopez, Kara S.; Robbins, Susan P.",Managing Digital Identities: A Grounded Theory of Mental Health Professionals' Participation in Online Social Networking.,Families in Society: Journal of Contemporary Social Services,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=156614326&site=ehost-live,"Despite the meteoric rise of social media, little is known about how clinical social workers and other mental health professionals respond to this new form of communication. This study used classic (Glaserian) grounded theory methodology to explore the experiences and concerns of mental health professionals on social networking websites such as Facebook, Twitter, and LinkedIn. The main concern that emerged out of research interviews with 26 mental health professionals was a loss of control over others' perceptions and the loss of ability to compartmentalize the different parts of identities associated with personal and professional selves. Participants resolved these concerns through the author-identified basic social process of ""managing digital identities."" This study highlights practice implications for professionals as they manage online identity. [ABSTRACT FROM AUTHOR]",Online social networks; Social workers; Social participation; Online identities; Grounded theory; online identity; digital identity; ethics/values; grounded theory; Mental health personnel; mental health professionals; technological advances,SocIndex,-,,,,,,,,0
182,153,306,journalArticle,2010.0,"Jurgenson, Nathan",McDonaldization and the Internet.,Conference Papers -- American Sociological Association,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86646947&site=ehost-live,"What is argued here is that McDonaldization, the theoretical concept put forth by George Ritzer, is of diminishing utility in its current form when analyzing the Internet, especially the most recent trends. The shift from a top-down, provider-generated Web 1.0 towards the bottom-up user-generated Web 2.0 is a trend towards unpredictability, incalculability, inefficiency and less subject to external control; a deMcDonaldization of the Web. These conclusions stem from an analysis of Web 2.0, such as social networking sites (e.g., Facebook, MySpace), media sharing sites (e.g., Flickr, YouTube), open source software (e.g., Linux, Firefox), Wikipedia, blogs and the blogosphere (including Twitter) and so on. It is argued here that the mechanism that allows the trend towards deMcDonaldization is the relative lack of scarcity in digital and user-generated environment as compared to the material world that the concept was created to describe. However, this argument is tempered by the fact that much of the Internet is highly rationalized. Many of the sites that allow for unpredictable user-generated content do so precisely because of their rationalized and standardized, thus McDonaldized, underlying structure. For example, Facebook, eBay and Wikipedia pages look and behave similarly for all users. Thus the conclusion is nuanced: that rationality and irrationality can comfortably coexist online, arguably due to the relative lack of scarcity. This conclusion, born out of abundance, is not possible under the McDonaldization thesis that was centered in a material world of scarcity. [ABSTRACT FROM AUTHOR]",Social networks; Microblogs; Open source software; Internet industry; Economic demand,SocIndex,-,,,,,,,,0
183,154,703,journalArticle,2016.0,"Trere, E; Mattoni, A",Media ecologies and protest movements: main perspectives and key lessons,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2015.1109699,,"Studies adopting the media ecology metaphor to investigate social movements form a promising strand of literature that has emerged in the last years to overcome the communicative reductionism permeating the study of the relation between social movements and communication technologies. However, contributions that apply ecological visions to protest are scattered, and only seldom connect their analyses to more general media ecological frameworks. The article critically reviews and classifies the diverse strands of scholarship that adopt the ecological metaphor in their exploration of activism, and connects them with the more general literature on media and communication ecologies. Moreover, it extracts the constitutive elements of this literature that can help scholars to better address the complexity of communication within social movements, and it articulates four key lessons that a media ecology lens brings to the understanding of media and protest. Finally, the article further demonstrates the strengths of this approach through an illustration of the preliminary findings of an ongoing investigation on the 15M movement in Spain.",digital activism; social movements; SOCIAL-MOVEMENTS; YOUTUBE; literature review; TWITTER; Media ecologies; protest ecologies,WOS,-,,,,,,,,0
184,155,1099,journalArticle,2021.0,"Choi, Mina; Choung, Hyesun",Mediated communication matters during the COVID-19 pandemic: The use of interpersonal and masspersonal media and psychological well-being.,Journal of Social & Personal Relationships,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=151524926&site=ehost-live,"The COVID-19 pandemic has significantly changed our social lives. Stay-at-home orders and physical distancing guidelines have led to restricted face-to-face interactions. The role of communication technologies has become important more than ever. The present study investigated how people use interpersonal (i.e., phone calling, texting, video chatting) and masspersonal media (i.e., Facebook, Instagram, Twitter) for different purposes (i.e., social connection, entertainment, information seeking) during the pandemic. Further, we examined how such mediated communication is associated with users' loneliness and, in turn, satisfaction with life. Results showed that people preferred interpersonal media for social connection and masspersonal media for entertainment and information seeking. The use of interpersonal and masspersonal media and its purpose were associated with users' psychological well-being both positively and negatively. Social use of interpersonal media was associated with decreased loneliness and, in turn, increased satisfaction with life. However, using media for information seeking was associated with increased loneliness and, in turn, decreased satisfaction with life. [ABSTRACT FROM AUTHOR]",Social media; Quality of life; Well-being; COVID-19; COVID-19 pandemic; Stay-at-home orders; Social distancing; Telecommunication; Interpersonal relations; Information needs; interpersonal media; loneliness; Loneliness; masspersonal media; psychological well-being; Satisfaction; uses and gratification,SocIndex,-,,,,,,,,0
185,156,1806,journalArticle,2021.0,"Ashdown-Franks, G; Joseph, J",Mind Your Business and Leave My Rolls Alone': A Case Study of Fat Black Women Runners' Decolonial Resistance,SOCIETIES,10.3390/soc11030095,,"The Black female body has been vilified, surveilled, and viewed as 'obese' and irresponsible for centuries in Western societies. For just as long, some Black women have resisted their mischaracterizations. Instead they have embraced a 'fat' identity. But little research has demonstrated how Black fat women participate in sport. The purpose of this study is to show how Black fat women who run use social media to unapologetically celebrate Blackness and fatness. This research uses a case-study approach to illuminate a broader phenomenon of decolonial resistance through running. In addition to analysis of websites, blogs, and news articles devoted to Black women's running, we discuss the (social) media content of two specific runners: Mirna Valerio and Latoya Shauntay Snell. We performed a critical discourse analysis on 14 media offerings from the two runners, including websites, Twitter pages, and blogs collected over a five-month period from September 2020-January 2021. The analysis examined how they represent themselves and their communities and how they comment on issues of anti-fat bias, neoliberal capitalism, ableist sexism, and white supremacy, some of the pillars of colonialism. Whereas running is often positioned as a weight-loss-focused and white-dominated colonial project, through their very presence and use of strategic communication to amplify their experiences and build community, these runners show how being a Black fat female athlete is an act of decolonial resistance. This study offers a unique sporting example of how fat women challenge obesity discourses and cultural invisibility and how Black athletes communicate anti-racist, decolonial principles.",MEDIA; POLITICS; AFRICAN-AMERICAN; HEALTH; sport; critical discourse analysis; women; NEOLIBERALISM; OBESITY; BODY-IMAGE; CRITICAL DISCOURSE ANALYSIS; decolonize; fatness; running; SPEAKING; WEIGHT,WOS,-,,,,,,,,0
186,157,251,journalArticle,,"Hopke, Jill E.; Gabay, Itay; Kim, Sojung C.; Rojas, Hernando",Mobile phones and political participation in Colombia: Mobile Twitter versus mobile Facebook,Communication and the Public,10.1177/2057047316642607,https://doi-org.ezproxy.lib.utexas.edu/10.1177/2057047316642607,"In this article, we test the relationships between Twitter and Facebook use on mobile phones and political conversation with offline and online political participation, as well as online expressive communication. Our findings show that using Twitter on mobile phones is associated with a higher likelihood for both online and offline political participation, as well as online expressive communication. Using Facebook is associated with a higher likelihood for online expressive communication only. The key contribution of this article is to show empirical differences between the relationships of social media and social networking on mobile devices with political participation and online expressive communication. Public social media apps, such as Twitter, bring mobile communication back into the public realm of a (albeit diffused) broadcast-like channel. Mobile Twitter adds to the affordances of mobility, networked connectivity, and the publicness of social media.",,SAGE,-,,,,,,,,0
187,159,755,journalArticle,2018.0,"Rehman, Sameen; Lyons, Kelly; McEwen, Rhonda; Sellen, Kate",Motives for sharing illness experiences on Twitter: conversations of parents with children diagnosed with cancer.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=126756903&site=ehost-live,"A patient- and family-centred approach in paediatric health care is important because parents are involved in making key decisions about their child’s health care and advocating for the best interest of the child. Parents and family members are increasingly turning to the internet to find and actively share information about their child’s health care. Twitter is one of many online platforms used by parents of children diagnosed with cancer to share information related to their child’s cancer experience. Existing research suggests that there is a need to better understand the motives for using Twitter for sharing content about a child’s cancer experience. Furthermore, there is a lack of theoretical frameworks for characterizing those motives. In this paper, we identify key themes of tweets posted by parents of children diagnosed with cancer and align those themes with motives inspired by the well-studied Everyday Life Information Seeking framework. We propose a new motive in addition to those associated with the framework and suggest that information can be shared for endogenous reasons as well as to meet the needs of others. This paper contributes an increased understanding of motives for sharing information about a child’s cancer journey and extends a theoretical framework for building further knowledge in this area. [ABSTRACT FROM AUTHOR]",Social media; Social networks; Twitter; Public health; social media; Medical communication; Health behavior; childhood cancer; Everyday Life Information Seeking; illness narratives,SocIndex,-,,,,,,,,0
188,160,1298,journalArticle,2018.0,"Cesare, Nina; Branstad, Jennifer",Mourning and memory in the twittersphere.,Mortality,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=126361637&site=ehost-live,"Emerging work in the field of social media and mourning suggests that social media spaces have changed the landscape of grief by encouraging mourners to form communities online, post public statements about loss, and maintain continuing bonds with the deceased. While existing studies restrict their analyses to public or private online spaces, we examine a space that is suited to both private communication and information broadcast. In this paper, we analyse mentions of deceased Twitter users and find that Twitter facilitates multiple types of mourning behaviours previously identified in isolation within other online spaces. While some Twitter users engage directly with the deceased and display evidence of continuing bonds, others use Twitter to comment on the death of high profile individuals or individuals whose death sparked their interest – often connecting these deaths to broader topics, including current events and calls for social change. Overall, our findings suggest that Twitter is a unique online space that encourages users to engage in a variety of personal and public communication that ranges from highly personal and intimate interaction to abstracted and impersonal commenting. [ABSTRACT FROM AUTHOR]",Social media; Twitter; social media; Attitudes toward death; Grief; Bereavement; digital data; Mourning; remembrance,SocIndex,-,,,,,,,,0
189,161,772,journalArticle,2013.0,"Ausserhofer, Julian; Maireder, Axel",NATIONAL POLITICS ON TWITTER.,"Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=86213752&site=ehost-live,"The increasing use of Twitter by politicians, journalists, political strategists and citizens has made it an important part of the networked sphere in which political issues are publicly negotiated. The growing number of studies investigating the relationship between Twitter and politics supports this claim. To the knowledge of the authors, this is the first study that examines the interrelation of individuals on the basis of their professions, their topics and their connection to mass media. Taking the example of Austria, they developed a user-centred method that overcomes the limitations inherent to other approaches in this field. The different types of data they gathered – Twitter user data, 1,375 newspaper articles and manually coded 145,356 tweets – allowed them to perform several analyses which provided insights into the structure and topics of a national public Twittersphere. Their results show that the network formed by Austria's most relevant political Twitter users is dominated by an elite of political professionals but open to outside participation. The topic analysis reveals the emergence of niche authorities and the periodic divergence of the political discourse on Twitter with that of mass media. The article concludes with a summary of how these phenomena relate to political participation. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Political participation; social media; Austria; politics; journalism; participation; mass media; Twitter networks; Mass media & politics,SocIndex,-,,,,,,,,0
